"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",1
"25",1
"26",1
"27",2
"28",3
"29",4
"30",5
"31",6
"32",7
"33",8
"34",9
"35",10
"36",11
"37",12
"38",13
"39",14
"40",15
"41",16
"42",17
"43",18
"44",19
"45",20
"46",21
"47",22
"48",23
"49",24
"50",25
"51",26
"52",27
"53",28
"54",29
"55",30
"56",31
"57",32
"58",33
"59",34
"60",35
"61",36
"62",37
"63",38
"64",39
"65",40
"66",41
"67",42
"68",43
"69",44
"70",45
"71",46
"72",47
"73",48
"74",49
"75",50
"76",51
"77",51
"78",52
"79",53
"80",54
"81",55
"82",56
"83",57
"84",58
"85",59
"86",60
"87",61
"88",62
"89",63
"90",64
"91",65
"92",66
"93",67
"94",68
"95",69
"96",70
"97",71
"98",72
"99",73
"100",74
"101",75
"102",76
"103",77
"104",78
"105",79
"106",80
"107",81
"108",82
"109",83
"110",84
"111",85
"112",86
"113",87
"114",88
"115",89
"116",90
"117",91
"118",92
"119",93
"120",94
"121",95
"122",96
"123",97
"124",98
"125",99
"126",100
